75
284700 794757 253052 176130 1043604 718551 500381 367885 530726 344997 577667 93285 498704 98649 1030140 23212 644970 142469 70060 255980 1017728 910521 1041618 235339 272409 281364 3050 855613 735869 1042038 213822 521463 482175 649464 960967 747388 935023 376021 499701 376082 424838 149657 435073 705216 226260 981172 649765 160816 850171 687144 203733 31256 717774 46317 688319 443719 849446 112497 726424 537038 846759 1030270 550262 126361 340748 937147 126341 820055 816118 829905 554043 44063 1016909 12139 175168 
911537 109291 158427 854037 975771 1037754 162541 265563 786254 462179 618982 270318 915884 125268 522409 458744 1012962 938015 2868 44059 460300 492170 430528 921250 329064 371347 369168 434570 323592 862632 610537 999546 277914 217416 263188 791388 621893 17748 971634 623083 100948 337767 425846 554786 1031727 761341 905463 164824 864976 781157 112795 247605 281058 601430 599702 905862 496766 647646 232567 799642 773896 492208 547778 967442 657609 219983 575429 128173 1013949 93059 53559 341457 469131 1044634 930067 
765222 407420 521335 740203 519973 587493 774836 506621 206916 359461 639213 830630 905823 996013 1015627 444612 694453 436079 812857 879299 850207 882856 124368 614102 89283 365909 1015350 624892 370141 186378 752755 342777 322914 288241 35792 582951 826852 129687 728886 815341 823554 645723 955560 279778 659272 600728 158391 569238 918592 853635 158077 603840 479343 646922 679121 994660 795511 1047869 831442 625811 166625 249107 824638 289481 197539 409376 406549 407860 35740 837125 900165 162880 1048564 835811 806011 
444781 821558 685818 987836 834704 989761 61299 133350 86230 759659 627831 415808 353784 638805 201940 237491 739227 449777 191669 890158 47923 45650 889693 929905 125095 405239 28181 833608 356317 148460 825391 869688 675850 300515 326908 474098 361302 479851 667854 570663 268521 693786 334716 426548 247392 645129 979663 153651 128615 123392 815310 783431 892582 975472 872600 648252 491926 151427 215515 725696 83517 222712 423634 763825 690492 560795 346184 487482 261806 79781 333769 396420 894915 225959 369826 
275594 111899 87853 210628 9808 814332 230172 130507 267190 925582 591485 329987 260685 818285 640791 803097 322529 448217 942655 606420 853364 456447 239865 649974 945741 11986 443840 1007833 1026350 575521 441179 57949 818431 622238 565970 690097 643767 320383 325498 719148 94283 748078 117992 599825 278356 319995 791295 535297 552947 194815 635782 255118 72494 673796 119741 458759 859439 656732 133951 219720 894092 55277 364475 566226 325514 209261 228757 839329 616961 279193 689615 404046 284703 313685 984948 
568396 941840 340046 310782 252132 545551 262644 243766 397417 43010 823682 538707 592520 264947 873417 840196 781503 159234 25957 691008 89125 268390 953419 728173 289938 89669 793841 1003236 268095 1011241 153234 412518 262732 315412 251395 221254 553461 149276 63075 602315 903271 782700 413133 607385 149777 232232 548296 10621 171382 859362 357796 90515 39283 421543 736070 147609 382266 800560 132761 488035 198085 438598 801616 238958 651816 471405 479417 596650 401862 521963 614085 716406 635305 884335 650013 
176685 701209 10617 13175 753110 109430 620331 317485 982276 278148 858243 188747 866182 80631 524644 912501 350431 853849 855074 295943 207315 514954 205014 223723 187942 50828 226355 537580 747219 330896 1032394 677347 505494 941467 503255 1016794 107667 555094 970994 947992 109291 352815 388652 913813 143989 33629 111917 234242 921079 238219 916813 464550 699267 797181 14940 1046035 287726 294197 837166 892467 408749 649719 220469 914437 495230 1031456 549009 799976 901541 64528 865444 623739 563633 402490 754704 
868817 545390 248317 185237 730169 152465 516509 185977 193093 31518 1011661 559105 508325 495846 813180 226963 532078 575709 11265 1024786 996374 1040082 488982 256207 201401 212452 398373 125972 694504 1004961 791442 9158 137081 423851 752920 21701 716764 27161 364712 500910 808751 359001 318006 896900 64491 919659 68874 69334 886601 989637 369679 159962 891873 612725 188468 405725 1013966 366752 59584 862986 100486 278686 673788 357896 804104 372896 545611 310092 98818 597566 1047747 353593 575565 1047406 382220 
842934 658760 843572 745210 331861 1020325 24685 377905 747739 827602 810419 229113 595004 836935 163590 333837 59433 99127 248078 727210 813201 290070 462672 884180 1025831 490337 795634 332963 352873 365472 713904 718081 221311 351112 657186 329426 107912 330000 88185 697720 889056 428464 421581 345807 306651 412265 104291 569612 652895 190270 20450 833300 870355 229795 961659 380569 69791 278890 78061 1022503 407959 805746 808183 390236 1034649 53580 68593 231356 988167 340026 860520 510731 272848 365722 342583 
956804 705269 481985 369130 1021649 510592 843013 590705 895007 585383 288281 679102 448863 145762 990795 613673 635049 573682 443036 528438 72384 803178 1035137 147039 965779 648746 176673 284828 1000811 843880 28053 589423 771252 561797 379066 52238 844368 311407 796979 5355 588781 276044 649221 41692 709440 649938 792286 4919 447013 518260 885080 188123 929899 861333 802244 934579 471164 574248 394730 695720 104717 460416 572516 818366 1011163 800410 172981 974211 396579 558999 751087 159946 346013 179602 217663 
36216 49407 909977 1044077 988588 654854 511408 923850 111055 670055 940855 611800 558999 263908 171996 63708 906878 807143 812733 1025959 202140 537589 655340 946306 531617 377421 448860 618125 764431 694937 667616 545653 803207 776468 288496 404210 1031131 506624 636548 20209 833218 774237 163205 646345 943992 114638 875642 413800 466328 434997 547284 917846 70467 367519 954350 728863 340260 172517 743293 105319 935807 162294 216545 55608 856254 20537 714368 723800 558517 275207 852218 284145 255903 786291 304415 
1019311 205831 865565 540435 257173 866174 891474 418493 70341 940597 660521 739902 1026943 674703 552706 439725 43933 634617 984376 316606 11156 710175 1013039 614045 557592 978589 707991 80896 627885 461103 368168 42370 462173 979659 673681 221508 273838 372616 16496 439378 252528 1036619 106944 877765 850026 812910 235194 543269 59709 504289 823068 85544 687626 433322 653738 700325 368313 801024 187967 552014 203746 877606 570457 59242 447462 813372 56520 350591 666904 229910 779871 533546 287689 454433 549888 
187248 430700 651720 245080 814266 835250 402845 990778 279865 629407 852738 203969 468059 524382 52091 975635 433933 102417 373137 249050 989826 266030 104478 208047 174533 416539 204122 541777 130061 694789 1023919 963234 587398 734679 30876 884480 680102 501672 101553 157477 612786 553161 94557 800393 889076 370536 793903 955583 739979 286488 141700 892251 449502 287253 979028 837406 911538 809381 1024015 240079 734411 257488 482895 760055 635345 367298 335238 429361 544090 836341 314820 44685 539183 658217 544097 
232197 682535 648655 20619 871475 294756 606463 1041318 425538 941486 501243 856386 93576 138947 90757 620657 107171 511 261879 638591 378540 345580 790070 406470 678365 193289 742805 454872 255657 415852 807802 723338 531300 184310 11294 437330 804196 28588 732007 583416 674267 985212 508788 174836 843999 639539 907032 877978 278699 146365 1003511 738559 369621 312753 653908 909247 477321 891810 316404 622528 73583 433552 252666 717808 687236 820705 310010 347850 334147 476511 803731 466833 217354 1040577 460814 
103637 694412 554538 74237 718112 887039 77180 1036668 1037743 764169 892505 842509 534704 887065 410237 456592 886494 235423 635868 875883 612576 343396 235316 935403 799757 376931 663551 872497 343666 683507 404803 206138 1027746 133570 401099 727596 675928 810243 641979 473406 85745 804792 954509 350381 124603 516187 553039 338932 282632 194161 276601 512744 624410 205879 4884 874744 933308 214945 72242 955044 179917 996045 352991 95530 998316 805787 30829 742539 956691 541011 344222 37380 828589 412142 939594 
502739 210374 726255 267996 50208 923876 167604 565070 343011 686168 86881 526497 266529 66936 525908 200418 366367 515211 226384 564238 741365 619911 893798 654657 773388 31388 54555 804656 203880 586409 799081 295826 397208 464562 30519 791965 116176 173116 501461 270715 183243 1035871 542583 99791 449684 160057 599665 353972 948328 928336 907414 924522 854438 440291 216892 775567 216540 978453 493822 762645 383423 99808 1048074 993362 361827 819862 501945 730728 964777 468975 649002 863503 352882 846367 751029 
896506 689317 16744 243388 73693 74620 1021710 224880 254843 272913 460918 431644 883190 135778 101749 23631 386742 17590 708904 313972 543844 31533 200249 939446 646544 50556 964360 1011428 849764 189253 174084 827948 433531 417573 486510 293389 608440 105789 545292 61643 85554 758281 1048236 465296 638503 944081 517790 769552 342660 639644 36388 250397 423498 1000684 835157 940843 560285 168826 350544 464874 668365 353974 111168 690196 937260 914359 400532 1015348 706159 879449 331661 791868 543886 540622 448726 
356585 1012735 784523 629907 179122 148323 725654 492518 522892 329453 449161 376981 444438 379603 655837 553254 780538 1047571 783154 60354 514159 270386 851199 697158 535881 900537 536663 393843 490331 681498 184607 610454 431024 570437 866569 572727 741032 1024655 37626 89477 759541 330242 422134 716607 8691 960247 687794 102336 797385 1035491 308153 611263 888480 534732 189560 285577 508344 977422 1039161 300539 122235 188313 742576 48839 929081 963981 1043347 274417 171123 521163 290638 763912 536984 226024 517295 
