20
686901 994885 318985 854318 977631 962431 34622 188202 673078 930570 1011457 982437 516769 267921 472203 291739 425295 855225 773408 529069 
1002908 1026912 391877 277365 79233 380689 185742 579481 30506 595594 248346 579734 444057 450484 22052 494763 858945 444440 976923 459705 
176602 217960 346409 245714 358571 234260 100179 799238 296734 601327 846974 544896 29236 692310 943350 425657 46881 934981 866525 646182 
88295 4714 317806 2380 815300 337553 145576 268645 1015256 918295 870715 665235 538979 246539 858914 392665 853764 755304 913249 487285 
812375 244242 607887 737244 1013194 586200 159157 432167 238095 529084 1029332 378097 714955 98512 515805 469383 183573 710115 1019957 687699 
818827 981232 368362 714400 84850 78436 325548 366659 457597 182019 506972 966653 188590 24590 342857 33439 279316 504377 747519 32194 
680686 622383 91484 116126 924125 594954 180370 841196 747484 119013 834876 552530 815359 132889 1031869 782039 921950 828360 770266 703194 
454336 811837 444514 245579 573929 441349 297300 463471 817750 316880 287307 44974 680805 924319 1016540 42689 752503 340290 859844 736162 
953503 261491 397855 459609 660568 754479 736925 765803 309394 878417 419861 342160 755149 113345 984300 306823 444931 829118 275628 183395 
20554 1026889 946495 210661 57397 526445 935508 95145 29765 680889 718474 848225 207224 462852 59444 976878 31214 296603 553464 850836 
1025433 898177 795632 814349 348531 1018067 504997 948005 752940 200254 634578 867966 588145 248852 4133 898411 838711 913378 76508 265040 
832366 622595 593607 246493 442723 238534 122419 57448 279489 57928 97436 373248 803147 384596 606860 302011 400933 307098 147649 719381 
569381 1014416 825938 20236 244971 695449 68329 395596 1011043 709555 995467 197066 354178 242371 420859 218800 802631 199757 854839 327443 
873316 340822 14406 156420 617990 1041046 260242 1001327 699766 642489 38815 86444 1009581 1040463 11218 528113 1019911 970537 141088 733756 
176883 218323 591775 50979 570321 897082 427376 440872 106083 865897 1047311 850177 657740 548043 532697 181605 68900 265444 445482 855266 
454908 882898 335073 506307 600643 531108 800686 666313 797086 144533 645311 479109 574042 912875 501087 35277 12306 641918 170003 748484 
211110 424329 33107 688652 947282 447627 177518 483008 610146 359540 267573 964640 759619 189666 998076 818371 308876 284946 374225 134203 
523349 711295 897662 691072 582329 320462 439371 63296 857944 864646 654283 793049 177199 458575 403621 557067 577379 536888 105881 971029 
393829 36535 511583 762854 612977 285386 704241 190664 450904 431343 506542 520917 277642 215398 845545 48006 203526 947866 175727 645387 
1039060 893057 654124 369113 888735 870176 283935 812814 727554 43075 710341 624562 989340 77618 540294 857137 33636 46691 309985 688661 
