10
18304609463753969619 12356964814910924897 782983005981435977 8212513806258718827 4800217299606931995 16378253977384146965 4940394084130309020 1343700637470253780 13243907550128250239 654127620102952515 
9646990275051408245 14984869900131009496 14492398358332475864 14595190096240755254 16496165626278617096 9710936463510606899 1669656743541757519 17875614831546861453 9974126511700224816 9694987776837219245 
17457121440795091639 894653431424380838 11186804009018799934 3396066491074960310 3388995213440833942 115122250415809305 10600559612171447594 2789070109844288895 6971302936154355472 8550315499748868259 
1437862066036025438 4547843235984689426 15885184624240249849 201494604425055910 7515692630029649347 3530289428159395483 396269753233525755 13173063391928125482 7237514649555180135 849599503412728753 
4815759743691123223 11698319113107185706 5105089287057312553 13912752037420813346 10553481004881001584 13827792193489033758 2165804136401750493 11216604542447681800 10182971134701550572 11062315489998975951 
5062585814706529250 7139946550180268456 5280209855048993250 1904600195562659167 14759519393201019057 8464333810209795332 16462385500781798724 13557133631500565489 10896902509711799072 8598618537096284716 
6937667223049249450 2853663141412430817 13197890858649645578 15118010733117391945 5764276279099159993 13817117277887753215 7249456310017212297 8993867349920486858 7332898386614120679 18098568527292546738 
12062226051232225357 2774483438948349419 17220710209274278899 2561051080575868790 7129841380066616493 8973174563861452338 7280628324166706495 17675523264829128412 7754942883214895600 5795240966416145901 
1882071067627450069 5374292956203444552 12955646571600796997 9729534396135350642 3324697931792473596 14211946080473671731 6645383971170889304 15739201640901918779 13417771212597250199 14730716243486690869 
10511688643983596657 13452867814001194834 4724786885770851419 8727504343993679747 18412715096753646875 13861376326431323043 4697276594993938576 8569574434774498586 8307434913927757851 9514716068555745089 
