35
51682659 171930489 830377017 297688447 630087310 802969812 866441137 516704123 792420126 866273000 118894260 844812048 67993337 147638166 286533775 676868233 3295305 1055327957 749977703 1030164488 21505245 950451565 978723557 747683847 371666308 27661253 552399166 344106427 441465897 238161222 40170846 361882863 672920698 863217762 460689316 
963927971 507933059 829116783 57649822 115940582 494728467 355044484 332819189 659493765 141595677 757103379 93562953 1005674332 698423189 320321418 1007873014 653016139 624471796 598685712 678647674 937757224 305540309 258795243 479507914 894322084 582704262 507246035 694075580 180145650 983631069 139442008 1021037406 682505159 375566660 282965911 
770501643 579796082 672256113 489231313 318068110 916406944 961663884 41423773 867542400 336985525 580048435 904179940 767332610 599435466 42402464 809921808 119547610 232202349 721203560 1043769481 98640076 223377424 191361157 560182247 559396999 711022944 604386737 820961797 182569405 64231049 90971423 184953639 323687855 254317869 51064030 
746488940 236841544 787380221 373722014 783647531 939313349 721881309 815948108 811614845 299232817 805714416 251328402 1028820085 354329813 271645119 18192720 159536911 600332454 77002250 669749744 318469824 206584824 524910615 322586123 47337936 689049558 306233744 178988286 372921665 1006438381 152997454 1065871971 1013749496 842225999 499939756 
49184676 723353954 867682990 205111500 47008138 437379564 593793742 245766683 708714698 449308646 176043881 574631940 142781784 471618714 251872247 91333254 7971761 212815708 956857353 631281865 43165434 457312069 964096255 359335012 210215075 975632405 662453971 758538433 867907585 457243454 354207222 487995865 163689381 654031315 551636972 
932714195 259804813 945566465 787578857 572353655 388107283 1005480515 622980736 357521679 191193849 755519489 417180290 842147057 395089456 1061286786 874274838 1013029459 91453178 44322227 975470721 1058037856 525256756 432831791 124192492 650983741 563320734 370195818 953330259 1022347596 131174079 659702037 98932587 344309773 356594303 565364462 
804987020 807912524 480818767 859149744 927302148 671024996 792220950 371414915 628956581 694878628 7653109 820081482 637093990 84725624 1056999920 531537728 708548806 654716512 328410830 451965501 782311099 435785306 982273593 759250043 822523437 168306974 808347203 92350300 132558808 766234317 200356421 435369599 847257204 485864252 389539232 
855428646 753575898 388691288 26655 301666001 43619038 256519991 567674529 558707233 1052270860 1051692437 873015995 595354669 862520149 127299027 293714646 377147379 398676600 524831651 611654225 62108420 213184946 246005584 1022850338 301128563 347100295 110191508 361514705 671501909 698593291 776155070 207352435 518513603 801186645 369958662 
1001802825 295589025 904276677 739037446 56675372 221441255 33461790 368478024 102821567 376192104 656524513 268068805 1073562950 405209105 599385661 185105483 372924288 52168025 148919265 878833686 209144447 152868465 715009838 57301348 439077306 388737785 236660039 729604847 891254535 613746845 14473399 735911147 254484868 284270440 202261314 
886282502 516562152 693557957 957676369 639921453 523075174 550556217 86606538 494637080 702243434 543170461 894371273 798012900 367647351 868545128 145582441 790057632 375325199 1029307091 344450795 149226173 967354896 480790027 821553376 338174968 182652101 790751774 71220462 502545416 742354548 247367409 402086709 969272691 495307544 606049930 
76422498 993490586 873403523 136166094 175144935 622010987 434436003 503577717 739187987 616580840 1031321971 951143656 607499126 661816617 850228386 1024555858 917659027 67864065 823549212 1065137827 338949214 308526415 77886238 774730680 864678079 670904103 331809503 744924337 845038708 677289391 429052203 36094675 403845630 408203102 184441066 
624114341 554915104 734232926 754708114 570328498 663907644 857687726 817257979 429969058 463040392 869196785 301936643 1019732516 725002583 51007591 856426217 701769177 876053431 993556529 695758999 39541315 566824199 245912547 339841736 802858366 52364368 15410171 385847963 198703455 386838533 14198161 308582014 1046928620 506710358 749789009 
24286721 756512631 922807250 299705130 730581288 273325442 317087108 986166109 284632105 124417178 616782778 93222971 619104936 977780726 147797331 388574462 278477729 914956711 614025248 360986182 993499221 237258830 286179596 800860237 316552805 626384033 247892916 346443118 276739539 319246690 834100471 470808666 16161093 292024462 538460263 
1037078403 976365291 609710729 714809555 777691477 382198071 943159975 574999788 57895410 89932257 114989733 766900598 199117609 755515178 279158564 136314509 347949504 1056996195 442438778 611277189 471018579 131150683 252581392 136227007 687137135 502876988 498193986 656049073 1018849037 265233477 52971798 782376389 386817240 410636063 459951050 
547469536 63529145 777178406 543922339 934839123 544820879 932675585 227612779 154047761 2811834 775886147 322081454 699932234 880429643 584897792 884782739 265016921 296515127 531309005 186720598 800495262 1008190946 15369029 1034723476 532414125 1023842496 478458140 865143100 127985739 348477060 410692883 302106978 242422056 1018625204 108204713 
281795215 941603686 304367264 707833117 938636357 794471777 130891093 381881675 180182542 882219952 618328496 620143814 984252060 950903494 228279996 877658007 287778134 691067794 664733276 10071300 231731729 13296358 262593469 62412687 553909816 335580334 897310046 937574904 366953581 402870329 1013641187 330106659 826857378 1045419310 754448133 
664756006 4576886 876327584 754388874 79365520 900203234 264836985 832753592 477562715 150213061 645482338 287848959 546013830 430259963 616200978 49691924 82682820 361882296 414414089 146892209 1015275991 296663482 251410377 590585899 943006636 313145213 504107585 847743850 765318144 693261811 39817442 636082813 532968102 710055973 486094473 
249807118 622344146 213617253 962280561 876212238 656469078 1005720109 478920233 1030782747 792360896 865121659 682787900 996298930 899944786 355606730 65837198 15210646 400575446 654596937 547232849 122055219 603915705 1022244084 596330172 728469786 1026449980 830338221 916734997 240566656 496356450 1061232441 577234207 819610223 661691153 855476609 
