15
273 647 156 11 642 195 448 483 437 386 492 665 909 961 468 
502 684 184 527 1012 35 472 339 848 22 463 177 389 199 787 
722 770 167 371 28 263 286 298 562 228 248 834 342 835 951 
613 356 242 444 109 808 661 791 980 708 679 689 533 852 746 
281 68 614 466 326 362 273 565 748 431 652 61 89 711 839 
790 222 68 442 653 958 61 270 178 944 949 742 6 851 187 
400 218 928 39 1004 616 959 802 217 9 742 862 243 474 942 
131 153 550 359 824 821 6 745 765 430 342 498 390 62 864 
933 504 1011 817 658 165 923 750 755 691 929 156 95 479 159 
718 558 771 448 171 359 425 957 15 68 840 913 228 704 638 
968 685 245 354 544 854 523 588 438 364 242 972 940 39 776 
115 1020 577 131 703 658 28 236 415 964 483 39 287 433 551 
640 202 619 81 1016 768 983 592 1 764 704 803 996 10 165 
61 100 248 227 849 372 869 947 807 962 403 35 945 358 93 
266 544 693 926 259 9 915 96 504 260 784 688 641 729 633 
