40
204052 407458 150930 356951 757601 742129 70264 880419 670235 1019982 1007981 315427 424705 769874 161885 746020 805577 809276 986341 565144 587759 48928 436202 1037463 864909 762880 748382 975675 940880 758046 519465 272354 229265 84211 1022840 903654 133910 218091 1033365 761408 
681171 364940 578403 381365 45970 1017727 783340 391377 316566 741308 999463 549815 262152 37893 676703 777852 498387 855963 473375 741453 725113 539036 848183 393211 109035 248111 559822 336071 372370 519395 1039785 724153 637354 205162 180855 1044433 669901 286153 414517 40122 
326025 119721 96023 440151 527770 63656 754815 437286 242863 889290 366735 477137 491194 652056 124703 493210 194927 192810 217140 340973 432125 728032 93398 165529 904046 108685 684396 1030531 99036 643149 388806 395475 184580 7728 770600 300669 256393 422694 748691 323508 
809893 948654 412199 1003881 194373 839285 960707 167122 161777 971013 642814 682583 886167 13491 23004 273438 881688 869745 740981 657295 345658 720919 150396 342839 673880 145935 958165 474423 28482 456572 176185 806148 879058 612340 124875 64939 614904 962117 260145 945287 
959041 323659 282902 979883 58774 539941 706756 281202 116025 340411 1025399 441406 727377 858686 427363 859928 582845 985447 551364 459051 349792 52945 753521 653227 4917 131826 307920 223104 672840 794688 740859 715350 379062 394068 792594 424572 701553 920616 697445 553787 
7129 975799 1043873 275936 518754 129684 113315 405955 757527 464852 584503 973077 1030498 317122 997843 560079 700333 514909 360815 608116 196051 287299 137385 981513 290192 623147 831264 689751 210659 829081 933876 693986 800835 1045080 342115 739442 732602 398704 161795 650352 
817189 222969 511596 186492 919287 881368 786795 1018858 458672 483459 192623 230798 164980 965453 893451 85289 238606 1015821 610791 989705 292847 823552 284356 640971 410096 295636 831421 627583 704386 518 292416 793576 780101 833380 589725 306515 442139 770151 513267 707043 
686041 320408 614372 1010519 839344 378687 840525 764550 190666 327653 946354 804839 169869 1045854 213827 394035 326559 391049 264338 501713 398769 226768 1044166 290173 1016249 755008 150585 18171 400141 490426 269837 23765 418861 998635 870675 177747 176063 121968 98307 497032 
343849 901956 704303 285226 292999 212524 488623 304866 299098 1010077 282010 582883 132127 632604 438472 310116 422707 420797 523117 388491 461037 444595 927548 644207 295152 103389 602508 210473 909449 20642 509320 660333 777695 343384 615392 470829 365160 10341 652720 1007812 
980264 913597 91263 361578 243777 32510 238277 818230 102444 673863 338201 445760 489131 965771 493856 945200 900553 368074 199095 549712 203147 778825 876964 337361 322707 790567 960017 87057 176782 99271 886362 60102 213243 864141 816290 679069 390461 758989 155207 236094 
865471 85288 169778 58353 933636 414601 532582 376391 135019 537745 3215 1039820 634543 249157 884098 231731 74055 664356 853351 21585 709081 456014 1000029 423153 596806 14716 498185 617110 547561 77111 647961 289306 120937 376584 53305 712884 506635 743134 148518 128825 
276660 332722 710161 244497 746008 125725 487484 184610 585016 807294 432847 185051 993807 31258 433691 1032484 959422 989698 847711 478328 142462 975976 775274 213864 1013279 801579 728106 362657 713378 620272 84835 92762 870438 420764 656238 201350 431004 1042242 601335 913859 
690285 279164 1030419 332696 567424 306711 574856 547079 624826 847907 849958 1019150 451365 1022331 934976 1024579 49672 635646 423559 8119 988411 224691 772319 465482 759519 587709 1040526 517553 87746 487825 752902 947472 1047236 505401 433277 487903 975780 710583 790565 612400 
855584 957101 193006 392708 723675 95565 776585 725521 116589 696070 1006999 600305 744522 65368 495834 499179 76313 347405 880189 195071 187743 667713 791266 374227 169158 921327 493192 546731 862024 239189 1006187 546505 1033268 946524 312348 126861 454173 16960 256186 604169 
1047446 453738 1040024 988915 994583 802760 260512 257169 193052 503313 903880 53905 465281 365678 589005 276187 345673 323597 116788 1005483 358022 671367 118963 621807 529022 189854 887292 211883 238787 918448 1023696 705030 67487 102008 907094 612268 633546 301999 254660 326849 
994582 390102 958343 659056 920338 709445 251789 106442 301471 24565 292617 63812 234324 870826 5413 83955 284351 23508 128825 898515 182862 562900 127484 891318 1020776 74833 882149 941482 949748 468861 804318 22565 378359 392357 169724 784206 1042068 584746 614811 239787 
727244 785067 441972 646858 609112 735146 836148 684913 1014500 740155 910804 160444 732879 1038296 779031 925551 30686 38144 767577 515254 605951 72863 442542 705672 784958 635841 15453 411128 326504 1004292 140797 541946 935716 87876 1042633 878546 287062 402690 309803 18767 
611739 152674 348086 124356 171590 432613 190137 115132 370209 390219 88963 290902 206881 734945 948273 445022 403226 949894 921800 787570 886979 691449 992489 360576 7625 245075 282172 977408 306161 143582 133593 571909 271463 444556 558321 401349 388588 171086 100754 398466 
866112 839966 340 405718 86078 870154 931220 92383 947229 566837 568657 862366 499135 653542 57138 710445 114533 668355 747177 781282 397724 570553 422795 1042760 718167 643289 870122 218007 283014 403586 243801 636980 197365 780958 649654 91425 485868 335445 775076 904559 
